Coalition,t (event index),Pruning,Shapley Value
Sum of contribution of events > t,-1,1,1.2128204107284547e-06
Sum of contribution of events ≤ t,-1,1,0.08675928146950901
Sum of contribution of events > t,-2,0,3.810428082942963e-06
Sum of contribution of events ≤ t,-2,0,0.0867566838618368
Sum of contribution of events > t,-3,0,7.73097574710846e-06
Sum of contribution of events ≤ t,-3,0,0.08675276331417263
Sum of contribution of events > t,-4,0,1.2884311378002168e-05
Sum of contribution of events ≤ t,-4,0,0.08674760997854174
Sum of contribution of events > t,-5,0,1.918395422399044e-05
Sum of contribution of events ≤ t,-5,0,0.08674131033569574
Sum of contribution of events > t,-6,0,2.6552870869636536e-05
Sum of contribution of events ≤ t,-6,0,0.0867339414190501
Sum of contribution of events > t,-7,0,3.4923946484923366e-05
Sum of contribution of events ≤ t,-7,0,0.08672557034343481
Sum of contribution of events > t,-8,0,4.4239817187190056e-05
Sum of contribution of events ≤ t,-8,0,0.08671625447273254
Sum of contribution of events > t,-9,0,5.445146933197975e-05
Sum of contribution of events ≤ t,-9,0,0.08670604282058775
Sum of contribution of events > t,-10,1,6.551782414317131e-05
Sum of contribution of events ≤ t,-10,1,0.08669497646577656
Sum of contribution of events > t,-11,1,7.740409858524799e-05
Sum of contribution of events ≤ t,-11,1,0.08668309019133448
Sum of contribution of events > t,-12,1,9.00811366736889e-05
Sum of contribution of events ≤ t,-12,1,0.08667041315324604
Sum of contribution of events > t,-13,1,0.000103524349629879
Sum of contribution of events ≤ t,-13,1,0.08665696994028986
Sum of contribution of events > t,-14,1,0.00011771314591169358
Sum of contribution of events ≤ t,-14,1,0.08664278114400804
Sum of contribution of events > t,-15,1,0.0001326297502964735
Sum of contribution of events ≤ t,-15,1,0.08662786453962326
Sum of contribution of events > t,-16,1,0.00014825931563973427
Sum of contribution of events ≤ t,-16,1,0.08661223497428
Sum of contribution of events > t,-17,1,0.00016458875685930252
Sum of contribution of events ≤ t,-17,1,0.08659590553306043
Sum of contribution of events > t,-18,1,0.00018160679936408996
Sum of contribution of events ≤ t,-18,1,0.08657888749055564
Sum of contribution of events > t,-19,1,0.0001993036065250635
Sum of contribution of events ≤ t,-19,1,0.08656119068339467
Sum of contribution of events > t,-20,1,0.0002176702506840229
Sum of contribution of events ≤ t,-20,1,0.08654282403923572
Sum of contribution of events > t,-21,1,0.00023669899255037308
Sum of contribution of events ≤ t,-21,1,0.08652379529736937
Sum of contribution of events > t,-22,1,0.00025638234987854957
Sum of contribution of events ≤ t,-22,1,0.08650411194004118
Sum of contribution of events > t,-23,1,0.00027671346440911294
Sum of contribution of events ≤ t,-23,1,0.08648378082551061
Sum of contribution of events > t,-24,1,0.0002976861875504255
Sum of contribution of events ≤ t,-24,1,0.08646280810236931
Sum of contribution of events > t,-25,1,0.00031929467618465424
