Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
37,4,0,1000,0.1880848,True,3
38,1,0,1000,0.2551905,True,1
38,2,0,1000,1.067117,True,1
38,3,0,1000,0.7849566,True,3
38,4,0,1000,0.3291186,True,1
39,1,0,1000,0.3478693,True,1
39,2,0,1000,1.331652,True,1
39,3,0,1000,0.9650669,True,2
39,4,0,1000,0.4202597,True,1
40,1,0,1000,0.2458344,True,3
40,2,0,1000,1.242988,True,1
40,3,0,1000,0.8127664,True,1
40,4,0,1000,0.3333436,True,3
