Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
1,1,200,200,1.1832159566199232,False,1
1,2,200,200,1.1832159566199232,False,1
1,3,200,200,1.51657508881031,False,1
1,4,200,200,1.51657508881031,False,1
2,1,200,400,1.1832159566199232,False,1
2,2,200,400,1.1832159566199232,False,1
2,3,200,400,1.51657508881031,False,1
2,4,200,400,1.51657508881031,False,1
3,1,200,100,1.1832159566199232,False,1
3,2,200,100,1.1832159566199232,False,1
3,3,200,100,1.51657508881031,False,1
3,4,200,100,1.51657508881031,False,1
4,1,200,300,1.1832159566199232,False,3
4,2,200,300,1.1832159566199232,False,3
4,3,200,300,1.51657508881031,False,3
4,4,200,300,1.51657508881031,False,3
5,1,200,200,1.1803135176723174,True,1
5,2,200,200,1.1803135176723174,True,1
5,3,200,200,1.5128549170359993,True,1
5,4,200,200,1.5128549170359993,True,1
6,1,200,200,1.1832159566199232,True,1
6,2,200,200,1.1832159566199232,True,1
6,3,200,200,1.51657508881031,True,1
6,4,200,200,1.51657508881031,True,1
7,1,200,20,1.1832159566199232,False,1
7,2,200,20,1.1832159566199232,False,1
7,3,200,20,1.51657508881031,False,1
7,4,200,20,1.51657508881031,False,1
8,1,200,40,1.1832159566199232,False,1
8,2,200,40,1.1832159566199232,False,1
8,3,200,40,1.51657508881031,False,1
8,4,200,40,1.51657508881031,False,1
9,1,200,60,1.1832159566199232,False,1
9,2,200,60,1.1832159566199232,False,1
9,3,200,60,1.51657508881031,False,1
9,4,200,60,1.51657508881031,False,1
10,1,200,80,1.1832159566199232,False,1
10,2,200,80,1.1832159566199232,False,1
10,3,200,80,1.51657508881031,False,1
10,4,200,80,1.51657508881031,False,1
11,1,200,60,1.1832159566199232,False,3
11,2,200,60,1.1832159566199232,False,3
11,3,200,60,1.51657508881031,False,3
11,4,200,60,1.51657508881031,False,3
12,1,200,200,1.1832159566199232,True,1
12,2,200,200,1.1832159566199232,True,1
12,3,200,200,1.51657508881031,True,1
12,4,200,200,1.51657508881031,True,1
13,1,200,600,1.1832159566199232,True,3
13,2,200,600,1.1832159566199232,True,3
13,3,200,600,1.51657508881031,True,3
13,4,200,600,1.51657508881031,True,3
14,1,200,20,1.1832159566199232,False,1
14,2,0,200,1.1832159566199232,False,1
14,3,200,200,1.51657508881031,True,1
14,4,0,200,1.51657508881031,False,1
15,1,200,40,1.1832159566199232,False,1
15,2,200,400,1.1832159566199232,False,1
15,3,200,300,1.51657508881031,False,3
15,4,200,600,1.51657508881031,True,3
16,1,200,60,1.1832159566199232,False,1
16,2,200,200,1.1832159566199232,True,1
16,3,0,200,1.51657508881031,False,1
16,4,200,200,1.51657508881031,True,1
17,1,200,80,1.1832159566199232,False,1
17,2,200,300,1.1832159566199232,False,3
17,3,200,200,1.5128549170359993,True,1
17,4,200,600,1.51657508881031,True,3
18,1,200,60,1.1832159566199232,False,3
18,2,200,600,1.1832159566199232,True,3
18,3,200,300,1.51657508881031,False,3
18,4,0,200,1.51657508881031,False,1
19,1,200,200,1.1832159566199232,True,1
19,2,200,600,1.1803135176723174,True,3
19,3,0,200,1.51657508881031,False,1
