Coalition,t (event index),Pruning,Shapley Value
Sum of contribution of events > t,-1,1,3.664176911115646e-07
Sum of contribution of events ≤ t,-1,1,0.07060865803435445
Sum of contribution of events > t,-2,0,1.0725334286689759e-06
Sum of contribution of events ≤ t,-2,0,0.07060795191861689
Sum of contribution of events > t,-3,0,2.0874515175819397e-06
Sum of contribution of events ≤ t,-3,0,0.07060693700052798
Sum of contribution of events > t,-4,0,3.387032076716423e-06
Sum of contribution of events ≤ t,-4,0,0.07060563741996885
Sum of contribution of events > t,-5,0,4.953887313604355e-06
Sum of contribution of events ≤ t,-5,0,0.07060407056473196
Sum of contribution of events > t,-6,0,6.775842979550362e-06
Sum of contribution of events ≤ t,-6,0,0.07060224860906601
Sum of contribution of events > t,-7,0,8.844595402479172e-06
Sum of contribution of events ≤ t,-7,0,0.07060017985664307
Sum of contribution of events > t,-8,0,1.1154593899846077e-05
Sum of contribution of events ≤ t,-8,0,0.07059786985814571
Sum of contribution of events > t,-9,0,1.3702251017093659e-05
Sum of contribution of events ≤ t,-9,0,0.07059532220102846
Sum of contribution of events > t,-10,0,1.648535579442978e-05
Sum of contribution of events ≤ t,-10,0,0.07059253909625113
Sum of contribution of events > t,-11,0,1.9502678886055947e-05
Sum of contribution of events ≤ t,-11,0,0.0705895217731595
Sum of contribution of events > t,-12,0,2.2753661498427392e-05
Sum of contribution of events ≤ t,-12,0,0.07058627079054713
Sum of contribution of events > t,-13,0,2.623821049928665e-05
Sum of contribution of events ≤ t,-13,0,0.07058278624154628
Sum of contribution of events > t,-14,0,2.995639480650425e-05
Sum of contribution of events ≤ t,-14,0,0.07057906805723906
Sum of contribution of events > t,-15,0,3.3908531069755556e-05
Sum of contribution of events ≤ t,-15,0,0.0705751159209758
Sum of contribution of events > t,-16,0,3.809494897723198e-05
Sum of contribution of events ≤ t,-16,0,0.07057092950306833
Sum of contribution of events > t,-17,0,4.25160564482212e-05
Sum of contribution of events ≤ t,-17,0,0.07056650839559733
Sum of contribution of events > t,-18,0,4.7172201797366145e-05
Sum of contribution of events ≤ t,-18,0,0.07056185225024819
Sum of contribution of events > t,-19,0,5.206350237131119e-05
Sum of contribution of events ≤ t,-19,0,0.07055696094967424
Sum of contribution of events > t,-20,0,5.719017423689366e-05
Sum of contribution of events ≤ t,-20,0,0.07055183427780867
Sum of contribution of events > t,-21,0,6.255230680108071e-05
Sum of contribution of events ≤ t,-21,0,0.07054647214524448
Sum of contribution of events > t,-22,0,6.814976781606674e-05
Sum of contribution of events ≤ t,-22,0,0.0705408746842295
Sum of contribution of events > t,-23,0,7.398234866559505e-05
Sum of contribution of events ≤ t,-23,0,0.07053504210337996
Sum of contribution of events > t,-24,0,8.004984445869922e-05
Sum of contribution of events ≤ t,-24,0,0.07052897460758686
Sum of contribution of events > t,-25,0,8.635165914893151e-05
Sum of contribution of events ≤ t,-25,0,0.07052267279289663
Sum of contribution of events > t,-26,0,9.288742020726203e-05
Sum of contribution of events ≤ t,-26,0,0.0705161370318383
Sum of contribution of events > t,-27,0,9.965618699789048e-05
Sum of contribution of events ≤ t,-27,0,0.07050936826504767
Sum of contribution of events > t,-28,0,0.00010665743611752987
Sum of contribution of events ≤ t,-28,0,0.07050236701592803
Sum of contribution of events > t,-29,0,0.0001138900239020586
Sum of contribution of events ≤ t,-29,0,0.07049513442814351
Sum of contribution of events > t,-30,0,0.00012135316245257854
Sum of contribution of events ≤ t,-30,0,0.07048767128959298
Sum of contribution of events > t,-31,0,0.00012904551066458226
Sum of contribution of events ≤ t,-31,0,0.07047997894138097
Sum of contribution of events > t,-32,0,0.00013696600683033467
Sum of contribution of events ≤ t,-32,0,0.07047205844521523
Sum of contribution of events > t,-33,0,0.0001451134607195854
Sum of contribution of events ≤ t,-33,0,0.07046391099132597
Sum of contribution of events > t,-34,0,0.00015348621271550655
Sum of contribution of events ≤ t,-34,0,0.07045553823933005
Sum of contribution of events > t,-35,0,0.00016208317503333091
Sum of contribution of events ≤ t,-35,0,0.07044694127701223
Sum of contribution of events > t,-36,0,0.0001709024775773287
Sum of contribution of events ≤ t,-36,0,0.07043812197446823
Sum of contribution of events > t,-37,0,0.00017994263023138048
Sum of contribution of events ≤ t,-37,0,0.07042908182181418
Sum of contribution of events > t,-38,0,0.00018920211866497994
Sum of contribution of events ≤ t,-38,0,0.07041982233338058
Sum of contribution of events > t,-39,0,0.0001986790783703327
Sum of contribution of events ≤ t,-39,0,0.07041034537367523
Sum of contribution of events > t,-40,0,0.00020837179757654666
Sum of contribution of events ≤ t,-40,0,0.07040065265446901
Sum of contribution of events > t,-41,0,0.00021827857196331024
Sum of contribution of events ≤ t,-41,0,0.07039074588008225
Sum of contribution of events > t,-42,0,0.00022839729487895966
Sum of contribution of events ≤ t,-42,0,0.0703806271571666
Sum of contribution of events > t,-43,0,0.00023872624710202217
Sum of contribution of events ≤ t,-43,0,0.07037029820494353
Sum of contribution of events > t,-44,0,0.0002492635678499937
