Random Seed,NSamples,Feature,Shapley Value,Entity,Tolerance
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.031771605186412734,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.09306264145473639,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.0010061317708343195,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.06852057878598569,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.020615648747608056,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.03076740948098401,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.011732308146481721,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.012466168017809597,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.013099676970268297,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.006869427778075146,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.002931032527610671,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.016205741042519605,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.07817701824742058,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.011914328275000061,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.007550761103630066,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.09076068857138346,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.03076452141255136,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.007924243807792664,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.06263964046773805,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.08374113784904275,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.002741411328315735,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.06601070366141693,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.007924243807792664,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.028637651379033964,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.011960750409712348,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.007932692766189575,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.013143010807658232,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.007924407720565796,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.009585919254769827,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,1.245737075805664e-05,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.06683867903041338,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,2.339482307434082e-06,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.006862078909451738,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.05977737903594971,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.03325781881536052,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0051533132791519165,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.018044421478112558,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.007940500974655151,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.011916879884401928,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.011320337653160095,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.01185036471287401,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.005153149366378784,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.06237489754830792,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.020667090292523328,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.002741411328315735,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.010056942707548514,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.005153149366378784,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.010291322438791365,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.005153149366378784,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.010529349147900909,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.01338803768157959,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.020446899986142915,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.04513216018676758,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.0007596960979203621,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.04513467848300934,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.001164560066411914,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.04513324797153473,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.029556882792214516,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.05556665360927582,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.09696789311803872,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.059777215123176575,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.0690833336965491,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.059777215123176575,0.0,0.01
