Coalition,t (event index),Pruning,Shapley Value
Sum of contribution of events > t,-1,1,2.3424997925758362e-07
Sum of contribution of events ≤ t,-1,1,0.5351978823579848
Sum of contribution of events > t,-2,0,6.245095282793045e-07
Sum of contribution of events ≤ t,-2,0,0.5351982726175338
Sum of contribution of events > t,-3,0,1.1106189340353012e-06
Sum of contribution of events ≤ t,-3,0,0.5351987587269396
Sum of contribution of events > t,-4,0,1.646246761083603e-06
Sum of contribution of events ≤ t,-4,0,0.5351992943547667
Sum of contribution of events > t,-5,0,2.195645123720169e-06
Sum of contribution of events ≤ t,-5,0,0.5351998437531292
Sum of contribution of events > t,-6,0,2.731256186962128e-06
Sum of contribution of events ≤ t,-6,0,0.5352003793641925
Sum of contribution of events > t,-7,0,3.231767565011978e-06
Sum of contribution of events ≤ t,-7,0,0.5352008798755705
Sum of contribution of events > t,-8,0,3.680691123008728e-06
Sum of contribution of events ≤ t,-8,0,0.5352013287991285
Sum of contribution of events > t,-9,0,4.0652472525835036e-06
Sum of contribution of events ≤ t,-9,0,0.5352017133552581
Sum of contribution of events > t,-10,0,4.375567659735679e-06
Sum of contribution of events ≤ t,-10,0,0.5352020236756653
Sum of contribution of events > t,-11,0,4.603886976838112e-06
Sum of contribution of events ≤ t,-11,0,0.5352022519949824
Sum of contribution of events > t,-12,0,4.744429141283036e-06
Sum of contribution of events ≤ t,-12,0,0.5352023925371469
Sum of contribution of events > t,-13,0,4.792584106326103e-06
Sum of contribution of events ≤ t,-13,0,0.5352024406921119
Sum of contribution of events > t,-14,0,4.836561158299446e-06
Sum of contribution of events ≤ t,-14,0,0.5352023929003626
Sum of contribution of events > t,-15,0,4.979064688086509e-06
Sum of contribution of events ≤ t,-15,0,0.5352022464442998
Sum of contribution of events > t,-16,0,5.222219973802566e-06
Sum of contribution of events ≤ t,-16,0,0.5352019994258881
Sum of contribution of events > t,-17,0,5.567466840147972e-06
Sum of contribution of events ≤ t,-17,0,0.53520165017806
Sum of contribution of events > t,-18,0,6.0159005224704746e-06
Sum of contribution of events ≤ t,-18,0,0.5352011977098882
Sum of contribution of events > t,-19,0,6.568251177668571e-06
Sum of contribution of events ≤ t,-19,0,0.5352006412353366
Sum of contribution of events > t,-20,0,7.225068286061287e-06
Sum of contribution of events ≤ t,-20,0,0.5351999803688378
Sum of contribution of events > t,-21,0,7.986532524228096e-06
Sum of contribution of events ≤ t,-21,0,0.5351992147509008
Sum of contribution of events > t,-22,0,8.852723985910416e-06
Sum of contribution of events ≤ t,-22,0,0.5351983442418278
Sum of contribution of events > t,-23,0,9.823612868785858e-06
Sum of contribution of events ≤ t,-23,0,0.5351973691433668
Sum of contribution of events > t,-24,0,1.0898992419242859e-05
Sum of contribution of events ≤ t,-24,0,0.5351962895020843
Sum of contribution of events > t,-25,0,1.2078490108251572e-05
Sum of contribution of events ≤ t,-25,0,0.535195105560124
Sum of contribution of events > t,-26,0,1.3361778110265732e-05
Sum of contribution of events ≤ t,-26,0,0.5351938179284335
Sum of contribution of events > t,-27,0,1.474829576909542e-05
Sum of contribution of events ≤ t,-27,0,0.5351924269478768
Sum of contribution of events > t,-28,0,1.6237478703260422e-05
Sum of contribution of events ≤ t,-28,0,0.5351909332163632
Sum of contribution of events > t,-29,0,1.7828864976763727e-05
Sum of contribution of events ≤ t,-29,0,0.535189337329939
Sum of contribution of events > t,-30,0,1.9521666690707206e-05
Sum of contribution of events ≤ t,-30,0,0.5351876398455352
Sum of contribution of events > t,-31,0,2.131524682044983e-05
Sum of contribution of events ≤ t,-31,0,0.5351858415529132
Sum of contribution of events > t,-32,0,2.3208800703287123e-05
Sum of contribution of events ≤ t,-32,0,0.5351839433610439
Sum of contribution of events > t,-33,0,2.5201514363288878e-05
Sum of contribution of events ≤ t,-33,0,0.5351819457933307
Sum of contribution of events > t,-34,0,2.7292849496006964e-05
Sum of contribution of events ≤ t,-34,0,0.5351798496264965
Sum of contribution of events > t,-35,0,2.9481606557965277e-05
Sum of contribution of events ≤ t,-35,0,0.5351776559669524
Sum of contribution of events > t,-36,0,3.1767310574650764e-05
Sum of contribution of events ≤ t,-36,0,0.5351753653418273
Sum of contribution of events > t,-37,0,3.414864465594292e-05
Sum of contribution of events ≤ t,-37,0,0.5351729790456593
Sum of contribution of events > t,-38,0,3.662511147558689e-05
Sum of contribution of events ≤ t,-38,0,0.5351704974193126
Sum of contribution of events > t,-39,0,3.919560462236404e-05
Sum of contribution of events ≤ t,-39,0,0.5351679218634963
Sum of contribution of events > t,-40,0,4.1859135031700136e-05
Sum of contribution of events ≤ t,-40,0,0.5351652530767024
Sum of contribution of events > t,-41,0,4.461499489843845e-05
Sum of contribution of events ≤ t,-41,0,0.5351624919418245
Sum of contribution of events > t,-42,0,4.74621020257473e-05
Sum of contribution of events ≤ t,-42,0,0.5351596394702792
Sum of contribution of events > t,-43,0,5.039948038756847e-05
Sum of contribution of events ≤ t,-43,0,0.5351566967535764
Sum of contribution of events > t,-44,0,5.3426198661327365e-05
Sum of contribution of events ≤ t,-44,0,0.5351536646522581
Sum of contribution of events > t,-45,0,5.654134228825569e-05
Sum of contribution of events ≤ t,-45,0,0.5351505439914763
Sum of contribution of events > t,-46,0,5.9743825346231463e-05
Sum of contribution of events ≤ t,-46,0,0.5351473359204829
Sum of contribution of events > t,-47,0,6.303275562822819e-05
Sum of contribution of events ≤ t,-47,0,0.5351440413538366
Sum of contribution of events > t,-48,0,6.640725210309029e-05
Sum of contribution of events ≤ t,-48,0,0.5351406611539423
Sum of contribution of events > t,-49,0,6.986594386398793e-05
Sum of contribution of events ≤ t,-49,0,0.5351371966842562
Sum of contribution of events > t,-50,0,7.340821251273155e-05
Sum of contribution of events ≤ t,-50,0,0.5351336486041546
Sum of contribution of events > t,-51,0,7.703307271003723e-05
Sum of contribution of events ≤ t,-51,0,0.5351300179027021
Sum of contribution of events > t,-52,0,8.073930256068706e-05
Sum of contribution of events ≤ t,-52,0,0.5351263057421893
